taxid,lineage,parent_taxid,species,no rank,genus,family,order,class,phylum,clade,superkingdom,species group,subclass,superfamily,superorder,infraclass,kingdom,subphylum,strain,subspecies,suborder,subfamily,subkingdom,section,subgenus,tribe,species subgroup
2108,"[2108, 2683645, 2093, 2092, 2085, 31969, 544448, 1783272, 2, 131567, 1]",2683645,mycoplasma sp.,root,mycoplasma,mycoplasmataceae,mycoplasmatales,mollicutes,mycoplasmatota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
47293,"[47293, 2652277, 2050, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2652277,mobiluncus sp.,root,mobiluncus,actinomycetaceae,actinomycetales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,lactobacillus crispatus,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,lactobacillus crispatus,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
884684,"[884684, 1637257, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1637257,mageeibacillus indolicus,root,mageeibacillus,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
884684,"[884684, 1637257, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1637257,mageeibacillus indolicus,root,mageeibacillus,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
109790,"[109790, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,lactobacillus jensenii,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
109790,"[109790, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,lactobacillus jensenii,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
32067,"[32067, 1129771, 203491, 203490, 32066, 2, 131567, 1]",1129771,,root,leptotrichia,leptotrichiaceae,fusobacteriales,fusobacteriia,fusobacteriota,,bacteria,,,,,,,,,,,,,,,,
168808,"[168808, 1129771, 203491, 203490, 32066, 2, 131567, 1]",1129771,,root,sneathia,leptotrichiaceae,fusobacteriales,fusobacteriia,fusobacteriota,,bacteria,,,,,,,,,,,,,,,,
47770,"[47770, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,lactobacillus crispatus,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
2701,"[2701, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",31953,,root,gardnerella,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1380,"[1380, 1643824, 84999, 84998, 201174, 1783272, 2, 131567, 1]",1643824,,root,atopobium,atopobiaceae,coriobacteriales,coriobacteriia,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,streptococcus sp.,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
35783,"[35783, 2608891, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608891,enterococcus sp.,root,enterococcus,enterococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1596,"[1596, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1578,lactobacillus gasseri,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
171549,"[171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",200643,,root,,,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
75787,"[75787, 206389, 28216, 1224, 2, 131567, 1]",206389,,root,,rhodocyclaceae,rhodocyclales,betaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
55080,"[55080, 186822, 1385, 91061, 1239, 1783272, 2, 131567, 1]",186822,,root,brevibacillus,paenibacillaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
67819,"[67819, 1783272, 2, 131567, 1]",1783272,,root,,,,,armatimonadota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
380240,"[380240, 1127830, 1127829, 2517206, 203682, 1783257, 2, 131567, 1]",1127830,,root,candidatus brocadia,candidatus brocadiaceae,candidatus brocadiales,candidatus brocadiia,planctomycetota,pvc group,bacteria,,,,,,,,,,,,,,,,
935200,"[935200, 2772226, 32003, 28216, 1224, 2, 131567, 1]",2772226,,root,sulfuricella,sulfuricellaceae,nitrosomonadales,betaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
32033,"[32033, 135614, 1236, 1224, 2, 131567, 1]",135614,,root,,xanthomonadaceae,xanthomonadales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
506,"[506, 80840, 28216, 1224, 2, 131567, 1]",80840,,root,,alcaligenaceae,burkholderiales,betaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
33057,"[33057, 2008794, 206389, 28216, 1224, 2, 131567, 1]",2008794,,root,thauera,zoogloeaceae,rhodocyclales,betaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
44675,"[44675, 574976, 574975, 533205, 57723, 2, 131567, 1]",574976,,root,geothrix,holophagaceae,holophagales,holophagae,acidobacteriota,,bacteria,,,,,,,,,,,,,,,,
1117,"[1117, 1798711, 1783272, 2, 131567, 1]",1798711,,root,,,,,cyanobacteriota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
231454,"[231454, 1775411, 135614, 1236, 1224, 2, 131567, 1]",1775411,,root,dyella,rhodanobacteraceae,xanthomonadales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
35783,"[35783, 2608891, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608891,enterococcus sp.,root,enterococcus,enterococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,bifidobacterium sp.,root,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
186820,"[186820, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1385,,root,,listeriaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
186817,"[186817, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1385,,root,,bacillaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1268,"[1268, 85006, 1760, 201174, 1783272, 2, 131567, 1]",85006,,root,,micrococcaceae,micrococcales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
194924,"[194924, 213115, 3031449, 200940, 2, 131567, 1]",213115,,root,,desulfovibrionaceae,desulfovibrionales,desulfovibrionia,thermodesulfobacteriota,,bacteria,,,,,,,,,,,,,,,,
186828,"[186828, 186826, 91061, 1239, 1783272, 2, 131567, 1]",186826,,root,,carnobacteriaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
206349,"[206349, 119069, 2008785, 1224, 2, 131567, 1]",119069,,root,,hydrogenophilaceae,hydrogenophilales,hydrogenophilia,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
45401,"[45401, 356, 28211, 1224, 2, 131567, 1]",356,,root,,hyphomicrobiaceae,hyphomicrobiales,alphaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
194924,"[194924, 213115, 3031449, 200940, 2, 131567, 1]",213115,,root,,desulfovibrionaceae,desulfovibrionales,desulfovibrionia,thermodesulfobacteriota,,bacteria,,,,,,,,,,,,,,,,
75682,"[75682, 80840, 28216, 1224, 2, 131567, 1]",80840,,root,,oxalobacteraceae,burkholderiales,betaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
239934,"[239934, 1647988, 48461, 203494, 74201, 1783257, 2, 131567, 1]",1647988,,root,akkermansia,akkermansiaceae,verrucomicrobiales,verrucomicrobiae,verrucomicrobiota,pvc group,bacteria,,,,,,,,,,,,,,,,
1485,"[1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",31979,,root,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
244127,"[244127, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,anaerotruncus,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
74201,"[74201, 1783257, 2, 131567, 1]",1783257,,root,,,,,verrucomicrobiota,pvc group,bacteria,,,,,,,,,,,,,,,,
2037,"[2037, 1760, 201174, 1783272, 2, 131567, 1]",1760,,root,,,actinomycetales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1485,"[1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",31979,,root,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
244127,"[244127, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,anaerotruncus,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
128827,"[128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",526525,,root,,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
946234,"[946234, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,flavonifractor,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,root,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
52225,"[52225, 1843491, 909929, 909932, 1239, 1783272, 2, 131567, 1]",1843491,,root,mitsuokella,selenomonadaceae,selenomonadales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
906,"[906, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,root,megasphaera,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
2316,"[2316, 2159, 2158, 183925, 2283794, 28890, 2157, 131567, 1]",2159,,root,methanosphaera,methanobacteriaceae,methanobacteriales,methanobacteria,euryarchaeota,methanomada group,archaea,,,,,,,,,,,,,,,,
135858,"[135858, 2810280, 526525, 526524, 1239, 1783272, 2, 131567, 1]",2810280,,root,catenibacterium,coprobacillaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,root,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
135625,"[135625, 1236, 1224, 2, 131567, 1]",1236,,root,,,pasteurellales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
724,"[724, 712, 135625, 1236, 1224, 2, 131567, 1]",712,,root,haemophilus,pasteurellaceae,pasteurellales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
543311,"[543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,root,parvimonas,peptoniphilaceae,tissierellales,tissierellia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1283313,"[1283313, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171552,,root,alloprevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
1164882,"[1164882, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,lachnoanaerobaculum,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
482,"[482, 481, 206351, 28216, 1224, 2, 131567, 1]",481,,root,neisseria,neisseriaceae,neisseriales,betaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,streptococcus sp.,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,root,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
815,"[815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171549,,root,,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
1647988,"[1647988, 48461, 203494, 74201, 1783257, 2, 131567, 1]",48461,,root,,akkermansiaceae,verrucomicrobiales,verrucomicrobiae,verrucomicrobiota,pvc group,bacteria,,,,,,,,,,,,,,,,
31979,"[31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,root,,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
186804,"[186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,root,,peptostreptococcaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
543,"[543, 91347, 1236, 1224, 2, 131567, 1]",91347,,root,,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
31953,"[31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",85004,,root,,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
2049,"[2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2037,,root,,actinomycetaceae,actinomycetales,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
625,"[625, 2629414, 620, 543, 91347, 1236, 1224, 2, 131567, 1]",2629414,shigella sp.,root,shigella,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
39491,"[39491, 1766253, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1766253,agathobacter rectalis,root,agathobacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,faecalibacterium prausnitzii,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
35833,"[35833, 35832, 194924, 213115, 3031449, 200940, 2, 131567, 1]",35832,bilophila wadsworthia,root,bilophila,desulfovibrionaceae,desulfovibrionales,desulfovibrionia,thermodesulfobacteriota,,bacteria,,,,,,,,,,,,,,,,
1547,"[1547, 3025755, 2810280, 526525, 526524, 1239, 1783272, 2, 131567, 1]",3025755,thomasclavelia ramosa,root,thomasclavelia,coprobacillaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
562,"[562, 561, 543, 91347, 1236, 1224, 2, 131567, 1]",561,escherichia coli,root,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,[ruminococcus] gnavus,root,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
851,"[851, 848, 203492, 203491, 203490, 32066, 2, 131567, 1]",848,fusobacterium nucleatum,root,fusobacterium,fusobacteriaceae,fusobacteriales,fusobacteriia,fusobacteriota,,bacteria,,,,,,,,,,,,,,,,
66862,"[66862, 85151, 186822, 1385, 91061, 1239, 1783272, 2, 131567, 1]",85151,,root,ammoniphilus,paenibacillaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
42895,"[42895, 2608935, 547, 543, 91347, 1236, 1224, 2, 131567, 1]",2608935,enterobacter sp.,root,enterobacter,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
551,"[551, 1903409, 91347, 1236, 1224, 2, 131567, 1]",1903409,,root,erwinia,erwiniaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
570,"[570, 2890311, 543, 91347, 1236, 1224, 2, 131567, 1]",2890311,,root,klebsiella,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
906,"[906, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,root,megasphaera,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
543311,"[543311, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,root,parvimonas,peptoniphilaceae,tissierellales,tissierellia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
177971,"[177971, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,shuttleworthia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
168808,"[168808, 1129771, 203491, 203490, 32066, 2, 131567, 1]",1129771,,root,sneathia,leptotrichiaceae,fusobacteriales,fusobacteriia,fusobacteriota,,bacteria,,,,,,,,,,,,,,,,
647,"[647, 257493, 642, 84642, 135624, 1236, 1224, 2, 131567, 1]",257493,aeromonas sp.,root,aeromonas,aeromonadaceae,aeromonadales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
41978,"[41978, 2608920, 1263, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2608920,ruminococcus sp.,root,ruminococcus,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
119852,"[119852, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,oscillospira,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
102106,"[102106, 84107, 84999, 84998, 201174, 1783272, 2, 131567, 1]",84107,,root,collinsella,coriobacteriaceae,coriobacteriales,coriobacteriia,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
177971,"[177971, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,shuttleworthia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
469,"[469, 468, 2887326, 1236, 1224, 2, 131567, 1]",468,,root,acinetobacter,moraxellaceae,moraxellales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
1378,"[1378, 539738, 1385, 91061, 1239, 1783272, 2, 131567, 1]",539738,,root,gemella,gemellaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,root,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
572511,"[572511, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,blautia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
189330,"[189330, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,dorea,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
28050,"[28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,lachnospira,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
207244,"[207244, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,anaerostipes,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1407607,"[1407607, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,fusicatenibacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
46205,"[46205, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,pseudobutyrivibrio,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
946234,"[946234, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,flavonifractor,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,root,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,bacteroides sp.,root,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
229037,"[229037, 257482, 583, 1903414, 91347, 1236, 1224, 2, 131567, 1]",257482,proteus sp. (in: enterobacteria),root,proteus,morganellaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
570,"[570, 2890311, 543, 91347, 1236, 1224, 2, 131567, 1]",2890311,,root,klebsiella,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,streptococcus sp.,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
906,"[906, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,root,megasphaera,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,root,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,root,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria,,,,,,,,,,,,,,,,
81852,"[81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",186826,,root,,enterococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
186804,"[186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,root,,peptostreptococcaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
128827,"[128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",526525,,root,,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1760,"[1760, 201174, 1783272, 2, 131567, 1]",201174,,root,,,,actinomycetes,actinomycetota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1224,"[1224, 2, 131567, 1]",2,,root,,,,,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
1239,"[1239, 1783272, 2, 131567, 1]",1783272,,root,,,,,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1282,"[1282, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,staphylococcus epidermidis,root,staphylococcus,staphylococcaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1224,"[1224, 2, 131567, 1]",2,,root,,,,,pseudomonadota,,bacteria,,,,,,,,,,,,,,,,
1239,"[1239, 1783272, 2, 131567, 1]",1783272,,root,,,,,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,streptococcus sp.,root,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
35783,"[35783, 2608891, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608891,enterococcus sp.,root,enterococcus,enterococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
33042,"[33042, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,root,coprococcus,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria,,,,,,,,,,,,,,,,
