disease,biospecimen_samples,taxid,lineage,parent_taxid,species,genus,family,order,class,phylum,clade,superkingdom,qualifier
ulcerative colitis,subgingival plaque,1261,"[1261, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1257,Peptostreptococcus_anaerobius,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
ulcerative colitis,subgingival plaque,1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,Staphylococcus_aureus,staphylococcus,staphylococcaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
ulcerative colitis,subgingival plaque,1328,"[1328, 671232, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",671232,Streptococcus_anginosus,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
ulcerative colitis,subgingival plaque,28037,"[28037, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus_mitis,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
irritable bowel syndrome,faeces,41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,Bifidobacterium_sp.,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
irritable bowel syndrome,faeces,33035,"[33035, 572511, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",572511,Blautia_producta,blautia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
irritable bowel syndrome,faeces,29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
irritable bowel syndrome,faeces,29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,Bacteroides_sp.,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
irritable bowel syndrome,faeces,287,"[287, 136841, 286, 135621, 72274, 1236, 1224, 2, 131567, 1]",136841,Pseudomonas_aeruginosa,pseudomonas,pseudomonadaceae,pseudomonadales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
cirrhosis,faeces,1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_catenulatum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
cirrhosis,faeces,1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_catenulatum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
cirrhosis,faeces,1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_catenulatum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
cirrhosis,faeces,216816,"[216816, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_longum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
cirrhosis,faeces,216816,"[216816, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_longum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
cirrhosis,faeces,1689,"[1689, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_dentium,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
cirrhosis,faeces,35783,"[35783, 2608891, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608891,Enterococcus_sp.,enterococcus,enterococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
cirrhosis,faeces,42895,"[42895, 2608935, 547, 543, 91347, 1236, 1224, 2, 131567, 1]",2608935,Enterobacter_sp.,enterobacter,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
cirrhosis,faeces,41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,Bifidobacterium_sp.,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
cirrhosis,faeces,1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium_sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
type 2 diabetes,faeces,841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,239935,"[239935, 239934, 1647988, 48461, 203494, 74201, 1783257, 2, 131567, 1]",239934,Akkermansia_muciniphila,akkermansia,akkermansiaceae,verrucomicrobiales,verrucomicrobiia,Verrucomicrobiota,pvc group,bacteria,elevated
type 2 diabetes,faeces,329854,"[329854, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",816,Bacteroides_intestinalis,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
type 2 diabetes,faeces,208479,"[208479, 2719313, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2719313,Enterocloster_bolteae,enterocloster,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,154046,"[154046, 1649459, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1649459,Hungatella_hathewayi,hungatella,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,1547,"[1547, 3025755, 2810280, 526525, 526524, 1239, 1783272, 2, 131567, 1]",3025755,Thomasclavelia_ramosa,thomasclavelia,coprobacillaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,1512,"[1512, 1506553, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1506553,[clostridium]_symbiosum,lachnoclostridium,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,84112,"[84112, 84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",84111,Eggerthella_lenta,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,562,"[562, 561, 543, 91347, 1236, 1224, 2, 131567, 1]",561,Escherichia_coli,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
type 2 diabetes,faeces,239759,"[239759, 171550, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171550,,alistipes,rikenellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
type 2 diabetes,faeces,1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,Parabacteroides_sp.,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
type 2 diabetes,faeces,292632,"[292632, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,subdoligranulum,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
type 2 diabetes,faeces,39491,"[39491, 1766253, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1766253,Agathobacter_rectalis,agathobacter,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
type 2 diabetes,faeces,853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,Faecalibacterium_prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
type 2 diabetes,faeces,729,"[729, 724, 712, 135625, 1236, 1224, 2, 131567, 1]",724,Haemophilus_parainfluenzae,haemophilus,pasteurellaceae,pasteurellales,gammaproteobacteria,Pseudomonadota,,bacteria,reduced
type 2 diabetes,faeces,166486,"[166486, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,Roseburia_intestinalis,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
type 2 diabetes,faeces,360807,"[360807, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,Roseburia_inulinivorans,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
type 2 diabetes,faeces,142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,Eubacterium_sp.,eubacterium,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
type 2 diabetes,faeces,128827,"[128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",526525,,,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,reduced
obesity,faeces,821,"[821, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,Phocaeicola_vulgatus,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
obesity,faeces,1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus_sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus_sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
pouchitis,pouch biopsie,1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus_sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
pouchitis,faeces,1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus_sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
pouchitis,pouch biopsie,1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus_sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
pouchitis,faeces,1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium_sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,Eubacterium_sp.,eubacterium,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium_sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,Eubacterium_sp.,eubacterium,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,561,"[561, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
pouchitis,faeces,1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus_sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,Bacteroides_sp.,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
pouchitis,faeces,1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,Parabacteroides_sp.,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
pouchitis,faeces,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
pouchitis,faeces,1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,Clostridium_sp.,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,28050,"[28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,lachnospira,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
pouchitis,faeces,904,"[904, 909930, 1843488, 909932, 1239, 1783272, 2, 131567, 1]",909930,,acidaminococcus,acidaminococcaceae,acidaminococcales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
pouchitis,faeces,29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,239934,"[239934, 1647988, 48461, 203494, 74201, 1783257, 2, 131567, 1]",1647988,,akkermansia,akkermansiaceae,verrucomicrobiales,verrucomicrobiia,Verrucomicrobiota,pvc group,bacteria,elevated
pouchitis,faeces,544,"[544, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,citrobacter,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
pouchitis,faeces,561,"[561, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,reduced
pouchitis,faeces,171,"[171, 170, 1643688, 203692, 203691, 2, 131567, 1]",170,,leptospira,leptospiraceae,leptospirales,spirochaetia,Spirochaetota,,bacteria,elevated
pouchitis,faeces,53246,"[53246, 267888, 135622, 1236, 1224, 2, 131567, 1]",267888,,pseudoalteromonas,pseudoalteromonadaceae,alteromonadales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
pouchitis,faeces,79206,"[79206, 2937909, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2937909,,desulfosporosinus,desulfitobacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
pouchitis,faeces,1125,"[1125, 1890449, 1118, 1301283, 3028117, 1117, 1798711, 1783272, 2, 131567, 1]",1890449,,microcystis,microcystaceae,chroococcales,cyanophyceae,Cyanobacteriota,terrabacteria group,bacteria,elevated
pouchitis,faeces,429,"[429, 403, 135618, 1236, 1224, 2, 131567, 1]",403,,methylobacter,methylococcaceae,methylococcales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
short bowel syndrome,faeces,561,"[561, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,escherichia,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
short bowel syndrome,faeces,625,"[625, 2629414, 620, 543, 91347, 1236, 1224, 2, 131567, 1]",2629414,Shigella_sp.,shigella,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
short bowel syndrome,faeces,1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus_sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
short bowel syndrome,faeces,239759,"[239759, 171550, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171550,,alistipes,rikenellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
