taxid,lineage,parent_taxid,species,genus,family,order,class,phylum,clade,superkingdom
5537,"[5537, 5533, 1799696, 231213, 162481, 29000, 5204, 451864, 4751, 33154, 2759, 131567, 1]",5533,rhodotorula mucilaginosa,rhodotorula,sporidiobolaceae,sporidiobolales,microbotryomycetes,basidiomycota,opisthokonta,eukaryota
5580,"[5580, 5579, 1570301, 5014, 451867, 147541, 715962, 716546, 147538, 716545, 4890, 451864, 4751, 33154, 2759, 131567, 1]",5579,aureobasidium pullulans,aureobasidium,saccotheciaceae,dothideales,dothideomycetes,ascomycota,opisthokonta,eukaryota
33174,"[33174, 5020, 715340, 92860, 451868, 147541, 715962, 716546, 147538, 716545, 4890, 451864, 4751, 33154, 2759, 131567, 1]",5020,,ophiosphaerella,phaeosphaeriaceae,pleosporales,dothideomycetes,ascomycota,opisthokonta,eukaryota
41254,"[41254, 93133, 2726947, 451867, 147541, 715962, 716546, 147538, 716545, 4890, 451864, 4751, 33154, 2759, 131567, 1]",93133,,mycosphaerella,mycosphaerellaceae,mycosphaerellales,dothideomycetes,ascomycota,opisthokonta,eukaryota
75750,"[75750, 2720870, 5052, 1131492, 5042, 451871, 147545, 716546, 147538, 716545, 4890, 451864, 4751, 33154, 2759, 131567, 1]",2720870,aspergillus sydowii,aspergillus,aspergillaceae,eurotiales,eurotiomycetes,ascomycota,opisthokonta,eukaryota
467971,"[467971, 139133, 2834500, 452343, 355688, 155619, 5302, 5204, 451864, 4751, 33154, 2759, 131567, 1]",139133,sistotremastrum suecicum,sistotremastrum,,trechisporales,agaricomycetes,basidiomycota,opisthokonta,eukaryota
214993,"[214993, 189450, 1581159, 5234, 155616, 5302, 5204, 451864, 4751, 33154, 2759, 131567, 1]",189450,papiliotrema flavescens,papiliotrema,rhynchogastremaceae,tremellales,tremellomycetes,basidiomycota,opisthokonta,eukaryota
1255125,"[1255125, 1581160, 1581159, 5234, 155616, 5302, 5204, 451864, 4751, 33154, 2759, 131567, 1]",1581160,rhynchogastrema tunnelae,rhynchogastrema,rhynchogastremaceae,tremellales,tremellomycetes,basidiomycota,opisthokonta,eukaryota
139132,"[139132, 139131, 5304, 452338, 355688, 155619, 5302, 5204, 451864, 4751, 33154, 2759, 131567, 1]",139131,sistotrema brinkmannii,sistotrema,corticiaceae,corticiales,agaricomycetes,basidiomycota,opisthokonta,eukaryota
1851509,"[1851509, 5408, 90886, 155616, 5302, 5204, 451864, 4751, 33154, 2759, 131567, 1]",5408,,naganishia,filobasidiaceae,filobasidiales,tremellomycetes,basidiomycota,opisthokonta,eukaryota
1196441,"[1196441, 470063, 452563, 2726946, 451867, 147541, 715962, 716546, 147538, 716545, 4890, 451864, 4751, 33154, 2759, 131567, 1]",470063,toxicocladosporium strelitziae,toxicocladosporium,cladosporiaceae,cladosporiales,dothideomycetes,ascomycota,opisthokonta,eukaryota
1280,"[1280, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",1279,staphylococcus aureus,staphylococcus,staphylococcaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria
29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,bacteroides sp.,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,parabacteroides sp.,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
150022,"[150022, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,finegoldia,peptoniphilaceae,tissierellales,tissierellia,bacillota,terrabacteria group,bacteria
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria
1716,"[1716, 1653, 85007, 1760, 201174, 1783272, 2, 131567, 1]",1653,,corynebacterium,corynebacteriaceae,mycobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria
29387,"[29387, 91994, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",91994,staphylococcus sp.,staphylococcus,staphylococcaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria
102106,"[102106, 84107, 84999, 84998, 201174, 1783272, 2, 131567, 1]",84107,,collinsella,coriobacteriaceae,coriobacteriales,coriobacteriia,actinomycetota,terrabacteria group,bacteria
447020,"[447020, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,adlercreutzia,eggerthellaceae,eggerthellales,coriobacteriia,actinomycetota,terrabacteria group,bacteria
207244,"[207244, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,anaerostipes,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
2383,"[2383, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,candidatus epulonipiscium,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
46228,"[46228, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,[ruminococcus] lactaris,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1492,"[1492, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1485,clostridium butyricum,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
29363,"[29363, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1485,clostridium paraputrificum,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1253,"[1253, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",33958,,pediococcus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria
425254,"[425254, 698776, 3018741, 186802, 186801, 1239, 1783272, 2, 131567, 1]",698776,cellulosilyticum ruminicola,cellulosilyticum,cellulosilyticaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
36841,"[36841, 1505652, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1505652,terrisporobacter glycolicus,terrisporobacter,peptostreptococcaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1262,"[1262, 2652281, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2652281,peptostreptococcus sp.,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
142586,"[142586, 2624479, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2624479,eubacterium sp.,eubacterium,eubacteriaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
901,"[901, 872, 194924, 213115, 3031449, 200940, 2, 131567, 1]",872,desulfovibrio piger,desulfovibrio,desulfovibrionaceae,desulfovibrionales,desulfovibrionia,thermodesulfobacteriota,,bacteria
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,bacteroides sp.,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,bifidobacterium sp.,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria
1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,lactobacillus sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria
543,"[543, 91347, 1236, 1224, 2, 131567, 1]",91347,,,enterobacteriaceae,enterobacterales,gammaproteobacteria,pseudomonadota,,bacteria
577310,"[577310, 995019, 80840, 28216, 1224, 2, 131567, 1]",995019,,parasutterella,sutterellaceae,burkholderiales,betaproteobacteria,pseudomonadota,,bacteria
1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,parabacteroides sp.,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
906,"[906, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,megasphaera,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria
39948,"[39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,dialister,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria
39497,"[39497, 1730, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1730,eubacterium xylanophilum,eubacterium,eubacteriaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
39485,"[39485, 28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",28050,lachnospira eligens,lachnospira,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1432051,"[1432051, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,eisenbergiella,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1506577,"[1506577, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,tyzzerella,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
853,"[853, 216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216851,faecalibacterium prausnitzii,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1680,"[1680, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,bifidobacterium adolescentis,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria
2173,"[2173, 2172, 2159, 2158, 183925, 2283794, 28890, 2157, 131567, 1]",2172,methanobrevibacter smithii,methanobrevibacter,methanobacteriaceae,methanobacteriales,methanobacteria,euryarchaeota,methanomada group,archaea
53443,"[53443, 572511, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",572511,blautia hydrogenotrophica,blautia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
333367,"[333367, 2719313, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2719313,enterocloster asparagiformis,enterocloster,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1531,"[1531, 2719313, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2719313,enterocloster clostridioformis,enterocloster,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
208479,"[208479, 2719313, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2719313,enterocloster bolteae,enterocloster,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
358743,"[358743, 2719313, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2719313,enterocloster citroniae,enterocloster,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
154046,"[154046, 1649459, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1649459,hungatella hathewayi,hungatella,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1547,"[1547, 3025755, 2810280, 526525, 526524, 1239, 1783272, 2, 131567, 1]",3025755,thomasclavelia ramosa,thomasclavelia,coprobacillaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria
29348,"[29348, 3025755, 2810280, 526525, 526524, 1239, 1783272, 2, 131567, 1]",3025755,thomasclavelia spiroformis,thomasclavelia,coprobacillaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria
1512,"[1512, 1506553, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1506553,[clostridium] symbiosum,lachnoclostridium,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
84112,"[84112, 84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",84111,eggerthella lenta,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,actinomycetota,terrabacteria group,bacteria
292800,"[292800, 946234, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",946234,flavonifractor plautii,flavonifractor,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,[ruminococcus] gnavus,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
29523,"[29523, 2646097, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2646097,bacteroides sp.,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
1743,"[1743, 31957, 85009, 1760, 201174, 1783272, 2, 131567, 1]",31957,,propionibacterium,propionibacteriaceae,propionibacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria
29387,"[29387, 91994, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",91994,staphylococcus sp.,staphylococcus,staphylococcaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria
35783,"[35783, 2608891, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608891,enterococcus sp.,enterococcus,enterococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria
189330,"[189330, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,dorea,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1378,"[1378, 539738, 1385, 91061, 1239, 1783272, 2, 131567, 1]",539738,,gemella,gemellaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria
310297,"[310297, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,phocaeicola plebeius,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
310298,"[310298, 909656, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",909656,phocaeicola coprocola,phocaeicola,bacteroidaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
745368,"[745368, 204475, 538999, 186802, 186801, 1239, 1783272, 2, 131567, 1]",204475,gemmiger formicilis,gemmiger,,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,[ruminococcus] gnavus,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
33042,"[33042, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,coprococcus,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
459786,"[459786, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,oscillibacter,oscillospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
1485,"[1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",31979,,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
397864,"[397864, 2005519, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2005519,,barnesiella,barnesiellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
497,"[497, 468, 2887326, 1236, 1224, 2, 131567, 1]",468,,psychrobacter,moraxellaceae,moraxellales,gammaproteobacteria,pseudomonadota,,bacteria
61170,"[61170, 128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",128827,,holdemania,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria
469,"[469, 468, 2887326, 1236, 1224, 2, 131567, 1]",468,,acinetobacter,moraxellaceae,moraxellales,gammaproteobacteria,pseudomonadota,,bacteria
286,"[286, 135621, 72274, 1236, 1224, 2, 131567, 1]",135621,,pseudomonas,pseudomonadaceae,pseudomonadales,gammaproteobacteria,pseudomonadota,,bacteria
